cycle,rOM,dOM,sOM
25,248.6,80.72999999999999,93.24999999999999
25,230.1,254.0899999999999,699.2800000000001
26,16.3,7.36,41.57
26,238.2,83.92999999999999,97.09
26,202.8,253.88999999999996,707.5000000000001
27,13.7,8.16,42.53
27,227.8,87.12999999999998,100.93
27,176.8,249.43999999999988,716.985
28,11.1,8.96,43.49
28,222.6,85.12999999999998,104.77000000000001
28,152.1,245.7399999999999,726.8
29,8.5,9.760000000000002,44.45
29,213.5,87.02999999999999,108.61000000000001
29,119.6,245.98999999999987,737.2450000000001
30,5.9,10.56,45.41
30,203.1,90.22999999999999,112.44999999999999
30,100.1,234.53999999999985,747.655
31,3.3,11.360000000000001,46.370000000000005
31,192.7,93.42999999999998,116.28999999999999
31,75.4,231.69499999999988,756.9649999999999
32,2.0,10.860000000000001,47.33
32,182.3,96.62999999999998,121.09
32,49.4,227.04499999999987,766.705
33,2.0,9.06,48.29
33,171.9,99.82999999999998,126.19
33,41.6,204.2449999999999,776.7250000000003
34,2.0,7.26,49.25
34,164.1,100.42999999999999,131.29
34,39.0,179.09999999999988,785.2450000000001
35,2.0,5.46,50.21
35,155.0,100.67999999999998,137.655
35,39.0,158.35999999999984,785.665
36,2.0,3.6599999999999997,51.17
36,148.5,98.17999999999998,144.135
36,39.0,142.15999999999985,781.2850000000003
37,2.0,1.8599999999999999,52.129999999999995
37,145.9,91.77999999999999,150.61499999999998
37,39.0,125.9599999999999,777.1649999999997
38,2.0,0.06,53.09
38,142.0,85.92999999999998,157.64499999999998
38,39.0,109.75999999999992,773.2049999999999
39,2.0,0.00999999999999999,52.4
39,131.6,87.48,163.555
39,39.0,94.8099999999999,768.0450000000001
40,2.0,0.00999999999999999,51.56
40,121.19999999999999,88.88,169.615
40,39.0,80.40999999999993,762.285
41,2.0,0.00999999999999999,50.72
41,110.8,90.27999999999999,175.67499999999998
41,39.0,66.01,756.9250000000001
42,2.0,0.00999999999999999,49.879999999999995
42,100.4,91.68,181.73499999999999
42,39.0,53.36000000000008,750.3549999999999
43,2.0,0.00999999999999999,49.04
43,91.3,93.08000000000001,187.795
43,39.0,40.76000000000005,743.635
44,2.0,0.00999999999999999,48.2
44,87.4,86.47999999999999,195.005
44,39.0,32.059999999999995,733.4550000000002
45,2.0,0.00999999999999999,47.36
45,79.6,83.47999999999999,202.445
45,39.0,26.60999999999996,720.1049999999998
46,2.0,0.00999999999999999,46.519999999999996
46,70.5,80.47999999999999,211.23499999999999
46,39.0,21.20999999999996,706.6049999999998
47,2.0,0.00999999999999999,45.68
47,60.099999999999994,78.42999999999999,220.325
47,39.0,16.75999999999996,692.3850000000001
48,2.0,0.00999999999999999,44.84
48,49.699999999999996,76.23,229.565
48,39.0,14.910000000000032,679.2149999999998
49,2.0,0.00999999999999999,44.0
49,39.300000000000004,74.03,238.805
49,39.0,13.110000000000033,666.25
50,2.0,0.00999999999999999,43.16
50,34.1,68.98,247.08000000000004
50,39.0,11.310000000000032,653.4050000000001
51,2.0,0.00999999999999999,42.32
51,25.0,67.08,254.855
51,39.0,9.510000000000034,641.1899999999999
52,2.0,0.00999999999999999,41.480000000000004
52,14.6,68.23,260.79499999999996
52,39.0,7.7099999999999955,629.2400000000001
53,2.0,0.00999999999999999,40.64
53,12.0,64.43,266.435
53,39.0,5.909999999999996,617.925
54,2.0,0.00999999999999999,39.8
54,12.0,56.88,270.72499999999997
54,39.0,4.109999999999996,606.8149999999999
55,2.0,0.00999999999999999,38.96
55,12.0,49.93000000000001,274.415
55,39.0,2.3099999999999956,596.0150000000001
56,2.0,0.00999999999999999,38.120000000000005
56,12.0,44.53,276.455
56,39.0,0.5100000000000001,585.2149999999999
57,2.0,0.00999999999999999,37.28
57,12.0,39.13,278.495
57,39.0,0.20999999999999985,573.235
58,2.0,0.00999999999999999,36.44
58,12.0,33.730000000000004,280.53499999999997
58,39.0,0.20999999999999985,561.0550000000001
59,2.0,0.00999999999999999,35.6
59,12.0,28.33,282.575
59,39.0,0.20999999999999985,548.875
60,2.0,0.00999999999999999,34.76
60,12.0,23.38,284.16499999999996
60,39.0,0.20999999999999985,537.0749999999999
0,480.0,0.0,0.0
0,1560.0,0.0,0.0
0,80.0,0.0,0.0
1,78.7,0.01000000000000001,1.0
1,474.8,0.04000000000000004,4.0
1,1522.3000000000009,0.29000000000000026,29.0
2,76.1,0.96,2.23
2,464.40000000000003,3.84,8.92
2,1446.9000000000003,27.840000000000018,64.66999999999996
3,73.5,1.76,3.61
3,454.0,7.04,14.44
3,1371.5,51.03999999999999,104.69
4,70.9,2.56,4.99
4,443.6,10.24,19.96
4,1296.0999999999997,74.24000000000002,144.70999999999998
5,68.3,3.36,6.37
5,433.2,13.44,25.48
5,1220.6999999999996,97.44,184.73000000000008
6,65.7,4.16,7.75
6,422.8,16.64,31.0
6,1145.3000000000004,120.63999999999993,224.75
7,63.1,4.96,9.13
7,412.4,19.84,36.52
7,1069.9000000000005,143.83999999999995,264.7699999999999
8,60.5,5.76,10.51
8,402.0,23.04,42.04
8,994.5,167.04,304.7899999999999
9,57.9,6.56,11.89
9,395.5,21.049999999999997,48.56
9,951.5999999999999,148.71,351.8099999999998
10,55.3,7.36,13.27
10,385.1,22.6,55.31
10,880.0999999999999,156.46,400.4399999999999
11,52.7,8.16,14.65
11,374.7,24.0,62.21
11,815.0999999999999,160.56,450.11999999999983
12,50.1,8.96,16.03
12,364.3,28.28,66.41
12,759.2,171.70000000000005,480.5000000000001
13,47.5,9.76,17.41
13,353.9,33.28,69.71
13,696.8,199.70000000000002,504.14
14,44.9,10.56,18.79
14,343.5,38.28,73.00999999999999
14,638.3,216.49999999999997,529.1449999999999
15,42.3,11.36,20.17
15,333.1,43.28,76.31
15,575.9,238.33999999999995,556.5100000000001
16,41.0,10.86,21.55
